type	latitude	longitude	altitude (ft)	name	desc	url
T	40.716320000	-77.833050000	1136.8			
T	40.716070000	-77.833590000	1132.3			
T	40.715920000	-77.833860000	1130.3			
T	40.715770000	-77.834040000	1128.2			
T	40.715610000	-77.834120000	1127.3			
T	40.715130000	-77.834220000	1124.8			
T	40.714700000	-77.834210000	1124.6			
T	40.714440000	-77.834260000	1125.9			
T	40.714400000	-77.834280000	1125.9			
T	40.714390000	-77.834280000	1125.9			
T	40.713730000	-77.834620000	1125.8			
T	40.713140000	-77.834980000	1123.2			
T	40.712850000	-77.835200000	1121.5			
T	40.712470000	-77.835570000	1117.8			
T	40.712320000	-77.835780000	1115.2			
T	40.712210000	-77.836010000	1113.7			
T	40.711940000	-77.836720000	1105.7			
T	40.711652513	-77.837705013	1099.6			
T	40.711365017	-77.838690017	1096.0			
T	40.711077513	-77.839675013	1090.4			
T	40.710790000	-77.840660000	1085.4			
T	40.710600000	-77.841380000	1081.7			
T	40.710405001	-77.841960002	1079.2			
T	40.710210000	-77.842540000	1078.5			
T	40.709710008	-77.843480014	1072.5			
T	40.709210008	-77.844420014	1069.3			
T	40.708710000	-77.845360000	1065.9			
T	40.708510000	-77.845770000	1062.8			
T	40.708340000	-77.845950000	1061.7			
T	40.708100000	-77.845990000	1059.3			
T	40.707950000	-77.845990000	1059.3			
T	40.707670000	-77.845900000	1059.0			
T	40.707480000	-77.845730000	1059.2			
T	40.706900000	-77.845540000	1059.8			
T	40.706520000	-77.845320000	1060.4			
T	40.706130000	-77.845020000	1061.0			
T	40.705860000	-77.844830000	1061.0			
T	40.705570000	-77.844740000	1061.1			
T	40.704910000	-77.844660000	1061.8			
T	40.704680000	-77.844690000	1060.7			
T	40.704480000	-77.844770000	1059.3			
T	40.704170000	-77.845010000	1056.1			
T	40.703580008	-77.845708025	1051.2			
T	40.702990013	-77.846406037	1046.8			
T	40.702400013	-77.847104037	1044.8			
T	40.701810008	-77.847802025	1040.9			
T	40.701220000	-77.848500000	1043.6			
T	40.700490000	-77.849130000	1042.2			
T	40.700015000	-77.849465003	1040.8			
T	40.699540000	-77.849800000	1040.8			
T	40.698950000	-77.850240000	1040.7			
T	40.698740000	-77.850470000	1040.5			
T	40.698186672	-77.851246680	1036.1			
T	40.697633339	-77.852023346	1029.0			
T	40.697080000	-77.852800000	1021.3			
T	40.696660000	-77.853470000	1017.3			
T	40.696440000	-77.853690000	1016.2			
T	40.696030000	-77.853920000	1016.2			
T	40.695360000	-77.854460000	1017.7			
T	40.695060000	-77.854790000	1017.4			
T	40.694780000	-77.855040000	1016.0			
T	40.694310000	-77.855530000	1012.8			
T	40.693715002	-77.856200006	1015.0			
T	40.693120000	-77.856870000	1012.1			
T	40.692740000	-77.857040000	1013.7			
T	40.692130000	-77.857180001	1020.4			
T	40.691520000	-77.857320000	1031.1			
T	40.691010001	-77.857815004	1031.2			
T	40.690500000	-77.858310000	1026.1			
T	40.690090000	-77.858610000	1021.0			
T	40.689620000	-77.858850000	1014.5			
T	40.689400000	-77.859060000	1015.2			
T	40.688740000	-77.859740000	1009.2			
T	40.688560000	-77.859870000	1011.2			
T	40.688260000	-77.859970000	1012.9			
T	40.687645000	-77.860080001	1022.6			
T	40.687030000	-77.860190000	1035.6			
T	40.686860000	-77.860270000	1037.5			
T	40.686640000	-77.860440000	1038.1			
T	40.686002006	-77.861006022	1033.7			
T	40.685364008	-77.861572033	1027.4			
T	40.684726008	-77.862138033	1024.7			
T	40.684088006	-77.862704022	1024.9			
T	40.683450000	-77.863270000	1029.4			
T	40.682990001	-77.863720003	1031.1			
T	40.682530000	-77.864170000	1033.0			
T	40.682670000	-77.864030000	1033.1			
T	40.682530000	-77.864170000	1033.0			
T	40.682580000	-77.865210000	1002.3			
T	40.682700000	-77.865100000	999.5			
T	40.682690000	-77.865100000	999.6			
T	40.683245001	-77.864590004	996.8			
T	40.683800000	-77.864080000	996.2			
T	40.684380000	-77.863640000	991.6			
T	40.684380000	-77.863650000	991.6			
T	40.685025001	-77.863195004	990.7			
T	40.685670000	-77.862740000	988.7			
T	40.685660000	-77.862740000	988.7			
T	40.685110001	-77.863126673	990.6			
T	40.684560001	-77.863513340	991.3			
T	40.684010000	-77.863900000	994.4			
T	40.683800000	-77.864080000	996.2			
T	40.683190001	-77.864645005	996.8			
T	40.682580000	-77.865210000	1002.3			
T	40.682550000	-77.864520000	1024.8			
T	40.682310000	-77.864380000	1033.3			
T	40.682070000	-77.864660000	1033.4			
T	40.681910000	-77.864900000	1032.2			
T	40.681910000	-77.864910000	1032.2			
T	40.681595001	-77.865475003	1025.1			
T	40.681280000	-77.866040000	1015.6			
T	40.680990000	-77.866470000	1012.6			
T	40.680620000	-77.866900000	1011.7			
T	40.680110000	-77.867340000	1013.8			
T	40.679780000	-77.867660000	1010.9			
T	40.679630000	-77.867850000	1007.2			
T	40.679310000	-77.868600000	988.9			
T	40.679160000	-77.868870000	985.9			
T	40.678660001	-77.869340004	985.9			
T	40.678160000	-77.869810000	988.1			
T	40.678130000	-77.869890000	988.1			
T	40.677760000	-77.869980000	993.0			
T	40.677020000	-77.869940000	1013.5			
T	40.676280000	-77.869760000	1033.2			
T	40.675405000	-77.869740000	1049.8			
T	40.674530000	-77.869720000	1077.2			
T	40.674320000	-77.869630000	1088.5			
T	40.674160000	-77.869400000	1092.5			
T	40.673985004	-77.868439997	1102.6			
T	40.673810000	-77.867480000	1118.5			
T	40.673810000	-77.867030000	1134.6			
T	40.673960000	-77.866540000	1145.0			
T	40.674250000	-77.866010000	1148.9			
T	40.674410000	-77.865790000	1145.5			
T	40.674530000	-77.865520000	1141.2			
T	40.674683339	-77.864683337	1132.2			
T	40.674836673	-77.863846671	1120.6			
T	40.674990000	-77.863010000	1104.8			
T	40.675110000	-77.862330000	1097.3			
T	40.675160000	-77.861840000	1094.8			
T	40.675210000	-77.860820000	1094.4			
T	40.675290000	-77.860400000	1098.2			
