type	latitude	longitude	altitude (ft)	name	desc	url
T	40.776140000	-77.676800000	1288.6			
T	40.776010000	-77.676980000	1283.6			
T	40.775880000	-77.677120000	1281.8			
T	40.775590000	-77.677340000	1280.1			
T	40.775050000	-77.677540000	1275.0			
T	40.774495000	-77.677725002	1263.9			
T	40.773940000	-77.677910000	1261.2			
T	40.773640000	-77.678020000	1260.6			
T	40.773480000	-77.678150000	1260.1			
T	40.773240000	-77.678390000	1258.5			
T	40.773230000	-77.678390000	1258.6			
T	40.773170000	-77.678460000	1258.1			
T	40.772715001	-77.679045004	1257.7			
T	40.772260000	-77.679630000	1260.8			
T	40.772150000	-77.679890000	1261.6			
T	40.772120000	-77.679970000	1261.6			
T	40.772120000	-77.679980000	1261.6			
T	40.772020000	-77.680340000	1261.2			
T	40.772530000	-77.680580000	1248.4			
T	40.772330000	-77.681400000	1247.8			
T	40.772530000	-77.680580000	1248.4			
T	40.772020000	-77.680340000	1261.2			
T	40.771950000	-77.680610000	1262.2			
T	40.771890000	-77.680740000	1262.2			
T	40.771880000	-77.680740000	1262.2			
T	40.771800000	-77.680920000	1262.2			
T	40.771300000	-77.681780000	1261.5			
T	40.771290000	-77.681780000	1261.4			
T	40.771100000	-77.682130000	1260.5			
T	40.770950000	-77.682350000	1260.4			
T	40.770310002	-77.683025006	1260.3			
T	40.769670000	-77.683700000	1258.3			
T	40.769160000	-77.684420000	1257.0			
T	40.769090000	-77.684620000	1256.9			
T	40.769350000	-77.685450000	1257.5			
T	40.769570000	-77.686060000	1264.3			
T	40.769850000	-77.686470000	1274.7			
T	40.770150000	-77.686750000	1281.0			
T	40.770550000	-77.687060000	1284.3			
T	40.771020000	-77.687390000	1294.1			
T	40.771360000	-77.687640000	1301.8			
T	40.771400000	-77.687720000	1301.8			
T	40.771390000	-77.687860000	1303.4			
T	40.771290000	-77.688120000	1307.3			
T	40.770970000	-77.688760000	1322.0			
T	40.770620000	-77.689520000	1332.4			
T	40.770315008	-77.690315011	1335.7			
T	40.770010011	-77.691110015	1324.9			
T	40.769705008	-77.691905011	1318.7			
T	40.769400000	-77.692700000	1323.3			
T	40.769110000	-77.693590000	1344.1			
T	40.768950000	-77.693940000	1351.1			
T	40.768495002	-77.694615005	1375.4			
T	40.768040000	-77.695290000	1394.0			
T	40.767685001	-77.695715002	1398.7			
T	40.767330000	-77.696140000	1394.8			
T	40.767130000	-77.696410000	1391.8			
T	40.766750000	-77.697080000	1384.3			
T	40.766540000	-77.697400000	1375.8			
T	40.766290000	-77.697670000	1367.1			
T	40.766030000	-77.697840000	1357.2			
T	40.765880000	-77.697850000	1355.2			
T	40.765530000	-77.697840000	1348.2			
T	40.765120000	-77.697930000	1331.9			
T	40.764980000	-77.697930000	1328.9			
T	40.764820000	-77.697890000	1323.2			
T	40.764620000	-77.697740000	1320.5			
T	40.764510000	-77.697840000	1317.3			
T	40.764020000	-77.698470000	1314.8			
T	40.763920000	-77.698650000	1313.9			
T	40.763860000	-77.698880000	1313.8			
T	40.763840000	-77.699280000	1315.2			
T	40.763770000	-77.699640000	1318.2			
T	40.763550000	-77.700350000	1322.5			
T	40.763340000	-77.700930000	1324.9			
T	40.763270000	-77.701060000	1325.2			
T	40.763270000	-77.701070000	1325.2			
T	40.762980001	-77.701630003	1328.9			
T	40.762690000	-77.702190000	1329.5			
T	40.762340000	-77.702680000	1335.3			
T	40.762250000	-77.702870000	1337.3			
T	40.762050000	-77.703750000	1339.2			
T	40.761805001	-77.704340002	1342.6			
T	40.761560000	-77.704930000	1349.3			
T	40.761480000	-77.705230000	1355.8			
T	40.761410000	-77.705850000	1366.4			
T	40.761290000	-77.706310000	1367.3			
T	40.761170000	-77.706580000	1366.4			
T	40.760790000	-77.707650000	1361.4			
T	40.760680000	-77.707830000	1361.4			
T	40.760420000	-77.708450000	1365.8			
T	40.760340000	-77.708680000	1367.6			
T	40.760320000	-77.708820000	1367.6			
T	40.760200000	-77.709350000	1379.0			
T	40.760040000	-77.709840000	1382.1			
T	40.759920000	-77.710120000	1393.8			
T	40.759790000	-77.710370000	1395.7			
T	40.759560000	-77.710650000	1400.2			
T	40.759240000	-77.711010000	1401.4			
T	40.758880000	-77.711350000	1404.8			
T	40.758470000	-77.711810000	1401.7			
T	40.758006669	-77.712356674	1406.3			
T	40.757543336	-77.712903341	1421.5			
T	40.757080000	-77.713450000	1438.3			
T	40.756860000	-77.713750000	1442.4			
T	40.756620000	-77.714130000	1443.2			
T	40.756380000	-77.714410000	1442.9			
T	40.755956669	-77.714976674	1442.3			
T	40.755533336	-77.715543340	1447.6			
T	40.755110000	-77.716110000	1448.3			
T	40.754600000	-77.716870000	1448.1			
T	40.754090000	-77.717500000	1449.1			
T	40.753790000	-77.717810000	1448.8			
T	40.753640000	-77.717900000	1449.4			
T	40.753270000	-77.718070000	1456.7			
T	40.753260000	-77.718070000	1456.8			
T	40.753090000	-77.718170000	1458.7			
T	40.752810000	-77.718530000	1458.0			
T	40.752490000	-77.719200000	1463.1			
T	40.752310000	-77.719660000	1466.8			
T	40.751955002	-77.720315004	1469.6			
T	40.751600000	-77.720970000	1483.7			
T	40.751350000	-77.721390000	1491.9			
T	40.750990000	-77.722070000	1499.3			
T	40.750890000	-77.722240000	1500.3			
T	40.750770000	-77.722390000	1502.5			
T	40.750550000	-77.722600000	1507.0			
T	40.750200000	-77.723090000	1509.7			
T	40.749705003	-77.723900006	1510.2			
T	40.749210000	-77.724710000	1521.4			
T	40.749120000	-77.724890000	1522.5			
T	40.748810000	-77.725650000	1524.6			
T	40.748700000	-77.726010000	1528.9			
T	40.748530000	-77.726450000	1535.7			
T	40.748325002	-77.727100002	1553.6			
T	40.748120000	-77.727750000	1568.5			
T	40.747780007	-77.728656676	1579.5			
T	40.747440007	-77.729563343	1589.3			
T	40.747100000	-77.730470000	1591.6			
T	40.746855001	-77.731060002	1591.8			
T	40.746610000	-77.731650000	1599.7			
T	40.746490000	-77.732000000	1603.6			
T	40.746290000	-77.732460000	1612.3			
T	40.745910000	-77.733480000	1622.0			
T	40.745560000	-77.734280000	1624.1			
T	40.745430000	-77.734510000	1621.1			
T	40.745250000	-77.734690000	1618.1			
T	40.744840000	-77.734910000	1602.6			
T	40.744600000	-77.734910000	1596.6			
T	40.744430000	-77.734870000	1591.5			
T	40.744000000	-77.734690000	1587.4			
T	40.743600000	-77.734470000	1592.4			
T	40.743180000	-77.734380000	1601.0			
T	40.742780000	-77.734420000	1619.3			
T	40.742620000	-77.734510000	1625.7			
T	40.742350000	-77.734690000	1639.9			
T	40.742150000	-77.734870000	1647.5			
T	40.741785002	-77.735475003	1669.8			
T	40.741420000	-77.736080000	1698.6			
T	40.741145002	-77.736710003	1714.4			
T	40.740870000	-77.737340000	1737.1			
T	40.740580000	-77.737940000	1758.6			
T	40.740390000	-77.738230000	1765.1			
T	40.740170000	-77.738490000	1775.4			
T	40.739710000	-77.738900000	1798.7			
T	40.739560000	-77.739120000	1805.0			
T	40.739420000	-77.739430000	1819.7			
T	40.739220003	-77.740195002	1840.5			
T	40.739020000	-77.740960000	1866.0			
T	40.738910000	-77.741320000	1877.7			
T	40.738810000	-77.741580000	1882.0			
T	40.738660000	-77.741760000	1891.0			
T	40.738150000	-77.742610000	1911.2			
T	40.737750000	-77.743140000	1917.0			
T	40.737570000	-77.743500000	1915.9			
T	40.737078012	-77.744328025	1908.3			
T	40.736586018	-77.745156037	1895.4			
T	40.736094018	-77.745984037	1871.1			
T	40.735602012	-77.746812025	1849.6			
T	40.735110000	-77.747640000	1834.2			
T	40.734970000	-77.747940000	1832.5			
T	40.734690000	-77.748650000	1829.4			
T	40.734435003	-77.749445003	1824.0			
T	40.734180000	-77.750240000	1824.6			
T	40.734180000	-77.750250000	1824.7			
T	40.733933338	-77.751000006	1830.9			
T	40.733686671	-77.751750006	1836.3			
T	40.733440000	-77.752500000	1843.6			
T	40.733360000	-77.752860000	1845.3			
T	40.733330000	-77.753140000	1845.6			
T	40.733285003	-77.753985001	1844.9			
T	40.733240000	-77.754830000	1837.0			
T	40.733260000	-77.754930000	1837.0			
T	40.733510000	-77.755240000	1846.4			
T	40.733780000	-77.755430000	1854.6			
T	40.734120000	-77.755690000	1861.6			
T	40.734240000	-77.755730000	1861.3			
T	40.734390000	-77.755730000	1859.7			
T	40.735030000	-77.755460000	1854.7			
T	40.735320000	-77.755240000	1857.9			
T	40.735580000	-77.754890000	1869.0			
T	40.735860000	-77.754580000	1871.9			
T	40.736030000	-77.754480000	1873.5			
T	40.736530000	-77.754210000	1875.7			
T	40.736780000	-77.754070000	1875.9			
T	40.737450000	-77.753360000	1887.9			
T	40.737760000	-77.753130000	1889.9			
T	40.737880000	-77.753050000	1890.1			
T	40.738190000	-77.752920000	1886.4			
T	40.739040000	-77.752690000	1874.0			
T	40.739830000	-77.752560000	1870.5			
T	40.740090000	-77.752500000	1870.1			
T	40.740210000	-77.752420000	1870.1			
T	40.740320000	-77.752330000	1870.5			
T	40.740620000	-77.751890000	1872.6			
T	40.740880000	-77.751570000	1871.8			
T	40.741500000	-77.751070000	1865.3			
T	40.741640000	-77.750850000	1862.2			
T	40.741700000	-77.750760000	1861.4			
T	40.742110000	-77.749960000	1858.8			
T	40.742290000	-77.749690000	1857.5			
T	40.742510000	-77.749510000	1856.3			
T	40.742820000	-77.749280000	1853.4			
T	40.743110000	-77.748970000	1850.5			
T	40.743420000	-77.748530000	1847.8			
T	40.744010002	-77.747815006	1834.0			
T	40.744600000	-77.747100000	1818.8			
T	40.744850000	-77.746780000	1815.1			
T	40.745355003	-77.745955006	1806.2			
T	40.745860000	-77.745130000	1794.6			
T	40.746185001	-77.744630003	1788.7			
T	40.746510000	-77.744130000	1786.2			
T	40.746970002	-77.743480004	1776.0			
T	40.747430000	-77.742830000	1764.6			
T	40.747690000	-77.742480000	1761.4			
T	40.748060000	-77.742070000	1751.6			
T	40.748540000	-77.741560000	1745.8			
T	40.748780000	-77.741320000	1744.8			
T	40.749000000	-77.741140000	1742.3			
T	40.749570000	-77.740740000	1732.2			
T	40.750320000	-77.740410000	1716.1			
T	40.750600000	-77.740240000	1710.4			
T	40.751030001	-77.739900002	1700.0			
T	40.751460000	-77.739560000	1691.5			
T	40.752200000	-77.739000000	1676.3			
T	40.752410000	-77.738810000	1673.6			
T	40.752780000	-77.738590000	1666.5			
T	40.753210000	-77.738260000	1657.6			
T	40.753555001	-77.737865002	1652.8			
T	40.753900000	-77.737470000	1643.6			
T	40.754230000	-77.737190000	1640.0			
T	40.754980000	-77.736670000	1629.1			
T	40.755260000	-77.736520000	1621.2			
T	40.755870000	-77.736030000	1612.6			
T	40.756120000	-77.735770000	1608.3			
T	40.756640000	-77.734900000	1601.3			
T	40.757470000	-77.734600000	1594.3			
T	40.758115000	-77.734290003	1587.2			
T	40.758760000	-77.733980000	1578.6			
T	40.758940000	-77.733940000	1577.1			
T	40.759410000	-77.733940000	1573.3			
T	40.759870000	-77.733880000	1568.5			
T	40.760140000	-77.733740000	1565.8			
T	40.760890000	-77.733270000	1562.7			
T	40.760990000	-77.733240000	1562.6			
T	40.761100000	-77.733260000	1563.2			
T	40.761700000	-77.733710000	1552.2			
T	40.762320000	-77.734250000	1541.8			
T	40.762790000	-77.734700000	1533.8			
T	40.762980000	-77.734960000	1530.2			
T	40.763260000	-77.735490000	1525.7			
T	40.763560000	-77.736220000	1516.8			
T	40.763890000	-77.736800000	1512.1			
T	40.764400000	-77.737500000	1503.8			
T	40.764500000	-77.737700000	1503.3			
T	40.764520000	-77.738020000	1502.6			
T	40.764480000	-77.739000000	1495.2			
T	40.764500000	-77.740060000	1485.2			
T	40.764580000	-77.740650000	1481.8			
T	40.764650000	-77.741000000	1481.1			
T	40.764800000	-77.741550000	1488.9			
T	40.764850000	-77.741850000	1486.7			
T	40.764833340	-77.742716667	1470.2			
T	40.764816673	-77.743583334	1465.2			
T	40.764800000	-77.744450000	1459.0			
T	40.764750000	-77.744820000	1458.0			
T	40.764580000	-77.745790000	1456.5			
T	40.764480000	-77.746560000	1453.2			
T	40.764440000	-77.747100000	1443.4			
T	40.764360000	-77.747680000	1436.9			
T	40.764350000	-77.747680000	1436.9			
T	40.764230000	-77.748570000	1430.8			
T	40.764070000	-77.749060000	1428.1			
T	40.763810000	-77.749420000	1426.4			
T	40.763490000	-77.749780000	1422.4			
T	40.763280000	-77.750180000	1419.3			
T	40.763220000	-77.750440000	1415.1			
T	40.763200000	-77.750710000	1412.8			
T	40.763200000	-77.751300000	1409.1			
T	40.763150000	-77.751710000	1407.0			
T	40.763050000	-77.752030000	1403.8			
T	40.763060000	-77.752150000	1403.0			
T	40.763220000	-77.752600000	1402.4			
T	40.763230000	-77.752690000	1402.2			
T	40.763210000	-77.752920000	1400.6			
T	40.763020002	-77.753545002	1391.0			
T	40.762830000	-77.754170000	1385.3			
T	40.762740000	-77.754550000	1381.0			
T	40.762730000	-77.754800000	1377.1			
T	40.762740000	-77.755000000	1374.9			
T	40.762800000	-77.755420000	1369.8			
T	40.762840000	-77.755500000	1369.8			
T	40.763060000	-77.755590000	1366.5			
T	40.763700000	-77.755740000	1354.8			
T	40.764090000	-77.755840000	1348.6			
T	40.764500000	-77.756000000	1340.0			
T	40.764640000	-77.756090000	1337.2			
T	40.764900000	-77.756320000	1330.6			
T	40.765190000	-77.756720000	1326.7			
T	40.765300000	-77.756780000	1326.5			
T	40.765460000	-77.756790000	1326.4			
T	40.766200000	-77.756720000	1326.1			
T	40.766440000	-77.756670000	1328.0			
T	40.766970000	-77.756440002	1331.4			
T	40.767500000	-77.756210000	1334.1			
T	40.768170000	-77.755950000	1338.2			
T	40.768680000	-77.755640000	1340.5			
T	40.768930000	-77.755540000	1339.4			
T	40.768960000	-77.755910000	1330.3			
T	40.769010000	-77.756180000	1322.9			
T	40.769110000	-77.756540000	1319.5			
T	40.769340000	-77.757260000	1301.4			
T	40.769470000	-77.757580000	1297.2			
T	40.769610000	-77.757880000	1295.6			
